=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:06:22
Data Points: 426

CALIBRATION PARAMETERS:
Scale X: 0.929887
Scale Y: 1.081548
Center X: -76.715963
Center Y: -51.836568

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
111: Raw = [X: 68.00, Y: -187.00, Z: -210.00, Pitch: 0.07бу, Roll: -3.63бу] -> Calibrated = [X: 139.72, Y: -164.41]
112: Raw = [X: 68.00, Y: -186.00, Z: -212.00, Pitch: 0.15бу, Roll: -3.52бу] -> Calibrated = [X: 139.42, Y: -163.06]
113: Raw = [X: 78.00, Y: -181.00, Z: -217.00, Pitch: 0.27бу, Roll: -3.41бу] -> Calibrated = [X: 148.30, Y: -157.56]
114: Raw = [X: 74.00, Y: -184.00, Z: -216.00, Pitch: 0.36бу, Roll: -3.36бу] -> Calibrated = [X: 144.25, Y: -160.53]
115: Raw = [X: 73.00, Y: -190.00, Z: -210.00, Pitch: 0.48бу, Roll: -3.34бу] -> Calibrated = [X: 142.96, Y: -166.59]
116: Raw = [X: 63.00, Y: -195.00, Z: -214.00, Pitch: 0.64бу, Roll: -3.35бу] -> Calibrated = [X: 133.06, Y: -172.27]
117: Raw = [X: 26.00, Y: -206.00, Z: -214.00, Pitch: 0.88бу, Roll: -3.36бу] -> Calibrated = [X: 97.84, Y: -184.18]
118: Raw = [X: -8.00, Y: -223.00, Z: -204.00, Pitch: 1.10бу, Roll: -3.34бу] -> Calibrated = [X: 65.65, Y: -201.80]
119: Raw = [X: -52.00, Y: -228.00, Z: -194.00, Pitch: 1.37бу, Roll: -3.22бу] -> Calibrated = [X: 24.07, Y: -206.09]
120: Raw = [X: -89.00, Y: -225.00, Z: -185.00, Pitch: 1.63бу, Roll: -3.02бу] -> Calibrated = [X: -10.91, Y: -201.57]
121: Raw = [X: -109.00, Y: -214.00, Z: -179.00, Pitch: 1.85бу, Roll: -2.77бу] -> Calibrated = [X: -29.97, Y: -188.52]
122: Raw = [X: -139.00, Y: -212.00, Z: -174.00, Pitch: 1.99бу, Roll: -2.51бу] -> Calibrated = [X: -58.09, Y: -185.25]
123: Raw = [X: -155.00, Y: -201.00, Z: -168.00, Pitch: 2.06бу, Roll: -2.26бу] -> Calibrated = [X: -72.93, Y: -172.32]
124: Raw = [X: -162.00, Y: -198.00, Z: -163.00, Pitch: 2.02бу, Roll: -2.03бу] -> Calibrated = [X: -79.16, Y: -168.21]
125: Raw = [X: -174.00, Y: -196.00, Z: -165.00, Pitch: 1.92бу, Roll: -1.85бу] -> Calibrated = [X: -90.13, Y: -165.60]
126: Raw = [X: -178.00, Y: -190.00, Z: -162.00, Pitch: 1.81бу, Roll: -1.70бу] -> Calibrated = [X: -93.48, Y: -158.58]
127: Raw = [X: -180.00, Y: -186.00, Z: -156.00, Pitch: 1.73бу, Roll: -1.57бу] -> Calibrated = [X: -94.96, Y: -153.71]
128: Raw = [X: -178.00, Y: -194.00, Z: -163.00, Pitch: 1.68бу, Roll: -1.47бу] -> Calibrated = [X: -93.17, Y: -162.29]
129: Raw = [X: -170.00, Y: -194.00, Z: -163.00, Pitch: 1.68бу, Roll: -1.42бу] -> Calibrated = [X: -85.73, Y: -162.15]
130: Raw = [X: -156.00, Y: -204.00, Z: -166.00, Pitch: 1.73бу, Roll: -1.39бу] -> Calibrated = [X: -72.94, Y: -172.98]
131: Raw = [X: -144.00, Y: -210.00, Z: -177.00, Pitch: 1.80бу, Roll: -1.41бу] -> Calibrated = [X: -62.29, Y: -179.82]
132: Raw = [X: -122.00, Y: -216.00, Z: -180.00, Pitch: 1.86бу, Roll: -1.47бу] -> Calibrated = [X: -42.10, Y: -186.59]
133: Raw = [X: -98.00, Y: -227.00, Z: -184.00, Pitch: 1.89бу, Roll: -1.58бу] -> Calibrated = [X: -20.00, Y: -198.97]
134: Raw = [X: -62.00, Y: -229.00, Z: -197.00, Pitch: 1.89бу, Roll: -1.72бу] -> Calibrated = [X: 13.06, Y: -202.06]
135: Raw = [X: -22.00, Y: -225.00, Z: -205.00, Pitch: 1.86бу, Roll: -1.91бу] -> Calibrated = [X: 50.09, Y: -198.74]
136: Raw = [X: 19.00, Y: -211.00, Z: -210.00, Pitch: 1.74бу, Roll: -2.15бу] -> Calibrated = [X: 88.46, Y: -184.73]
137: Raw = [X: 64.00, Y: -185.00, Z: -214.00, Pitch: 1.52бу, Roll: -2.39бу] -> Calibrated = [X: 130.94, Y: -157.81]
138: Raw = [X: 96.00, Y: -140.00, Z: -213.00, Pitch: 1.16бу, Roll: -2.62бу] -> Calibrated = [X: 161.97, Y: -110.04]
139: Raw = [X: 116.00, Y: -88.00, Z: -211.00, Pitch: 0.72бу, Roll: -2.81бу] -> Calibrated = [X: 182.11, Y: -54.50]
140: Raw = [X: 104.00, Y: -34.00, Z: -196.00, Pitch: 0.17бу, Roll: -2.90бу] -> Calibrated = [X: 172.88, Y: 4.35]
141: Raw = [X: 82.00, Y: 21.00, Z: -179.00, Pitch: -0.44бу, Roll: -2.80бу] -> Calibrated = [X: 154.24, Y: 65.10]
142: Raw = [X: 36.00, Y: 60.00, Z: -157.00, Pitch: -1.05бу, Roll: -2.50бу] -> Calibrated = [X: 112.87, Y: 109.30]
143: Raw = [X: -21.00, Y: 83.00, Z: -139.00, Pitch: -1.57бу, Roll: -2.03бу] -> Calibrated = [X: 60.73, Y: 136.19]
144: Raw = [X: -82.00, Y: 93.00, Z: -128.00, Pitch: -1.97бу, Roll: -1.43бу] -> Calibrated = [X: 4.60, Y: 148.87]
145: Raw = [X: -133.00, Y: 88.00, Z: -115.00, Pitch: -2.20бу, Roll: -0.72бу] -> Calibrated = [X: -42.76, Y: 145.36]
146: Raw = [X: -181.00, Y: 79.00, Z: -108.00, Pitch: -2.22бу, Roll: -0.09бу] -> Calibrated = [X: -87.57, Y: 137.08]
147: Raw = [X: -211.00, Y: 57.00, Z: -103.00, Pitch: -2.06бу, Roll: 0.43бу] -> Calibrated = [X: -115.93, Y: 114.37]
148: Raw = [X: -234.00, Y: 42.00, Z: -102.00, Pitch: -1.75бу, Roll: 0.79бу] -> Calibrated = [X: -137.89, Y: 98.87]
149: Raw = [X: -253.00, Y: 28.00, Z: -102.00, Pitch: -1.37бу, Roll: 0.97бу] -> Calibrated = [X: -156.21, Y: 84.09]
150: Raw = [X: -256.00, Y: 14.00, Z: -103.00, Pitch: -0.99бу, Roll: 0.95бу] -> Calibrated = [X: -159.64, Y: 68.90]
151: Raw = [X: -261.00, Y: 3.00, Z: -101.00, Pitch: -0.64бу, Roll: 0.81бу] -> Calibrated = [X: -164.91, Y: 56.67]
152: Raw = [X: -265.00, Y: 4.00, Z: -105.00, Pitch: -0.42бу, Roll: 0.51бу] -> Calibrated = [X: -168.98, Y: 57.20]
153: Raw = [X: -261.00, Y: 4.00, Z: -103.00, Pitch: -0.30бу, Roll: 0.15бу] -> Calibrated = [X: -165.49, Y: 56.46]
154: Raw = [X: -261.00, Y: 13.00, Z: -105.00, Pitch: -0.23бу, Roll: -0.22бу] -> Calibrated = [X: -165.58, Y: 65.46]
155: Raw = [X: -253.00, Y: 23.00, Z: -100.00, Pitch: -0.20бу, Roll: -0.55бу] -> Calibrated = [X: -158.22, Y: 75.67]
156: Raw = [X: -232.00, Y: 44.00, Z: -98.00, Pitch: -0.20бу, Roll: -0.86бу] -> Calibrated = [X: -138.69, Y: 97.82]
157: Raw = [X: -206.00, Y: 66.00, Z: -103.00, Pitch: -0.12бу, Roll: -1.08бу] -> Calibrated = [X: -114.63, Y: 121.10]
158: Raw = [X: -145.00, Y: 91.00, Z: -116.00, Pitch: -0.04бу, Roll: -1.27бу] -> Calibrated = [X: -58.03, Y: 147.45]
159: Raw = [X: -70.00, Y: 90.00, Z: -127.00, Pitch: 0.10бу, Roll: -1.42бу] -> Calibrated = [X: 11.42, Y: 145.75]
160: Raw = [X: 13.00, Y: 68.00, Z: -152.00, Pitch: 0.18бу, Roll: -1.54бу] -> Calibrated = [X: 88.36, Y: 120.94]
161: Raw = [X: 67.00, Y: 25.00, Z: -179.00, Pitch: 0.15бу, Roll: -1.65бу] -> Calibrated = [X: 138.59, Y: 73.29]
162: Raw = [X: 102.00, Y: -32.00, Z: -196.00, Pitch: -0.01бу, Roll: -1.82бу] -> Calibrated = [X: 171.60, Y: 10.49]
163: Raw = [X: 114.00, Y: -73.00, Z: -206.00, Pitch: -0.21бу, Roll: -2.10бу] -> Calibrated = [X: 183.43, Y: -35.21]
164: Raw = [X: 110.00, Y: -118.00, Z: -214.00, Pitch: -0.47бу, Roll: -2.52бу] -> Calibrated = [X: 180.63, Y: -85.79]
