=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:12:18
Data Points: 600

CALIBRATION PARAMETERS:
Scale X: 0.928927
Scale Y: 1.082850
Center X: -75.887775
Center Y: -70.072810

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
116: Raw = [X: 118.00, Y: -116.00, Z: -211.00, Pitch: -0.17бу, Roll: -3.43бу] -> Calibrated = [X: 186.10, Y: -68.95]
117: Raw = [X: 112.00, Y: -103.00, Z: -211.00, Pitch: -0.21бу, Roll: -3.41бу] -> Calibrated = [X: 180.64, Y: -54.84]
118: Raw = [X: 121.00, Y: -100.00, Z: -212.00, Pitch: -0.23бу, Roll: -3.40бу] -> Calibrated = [X: 189.09, Y: -51.59]
119: Raw = [X: 115.00, Y: -96.00, Z: -208.00, Pitch: -0.25бу, Roll: -3.38бу] -> Calibrated = [X: 183.56, Y: -46.95]
120: Raw = [X: 119.00, Y: -93.00, Z: -211.00, Pitch: -0.27бу, Roll: -3.37бу] -> Calibrated = [X: 187.36, Y: -43.86]
121: Raw = [X: 118.00, Y: -94.00, Z: -207.00, Pitch: -0.29бу, Roll: -3.36бу] -> Calibrated = [X: 186.48, Y: -44.62]
122: Raw = [X: 116.00, Y: -94.00, Z: -209.00, Pitch: -0.31бу, Roll: -3.35бу] -> Calibrated = [X: 184.69, Y: -44.71]
123: Raw = [X: 115.00, Y: -91.00, Z: -208.00, Pitch: -0.33бу, Roll: -3.34бу] -> Calibrated = [X: 183.82, Y: -41.36]
124: Raw = [X: 118.00, Y: -94.00, Z: -212.00, Pitch: -0.35бу, Roll: -3.33бу] -> Calibrated = [X: 186.71, Y: -44.83]
125: Raw = [X: 123.00, Y: -92.00, Z: -212.00, Pitch: -0.37бу, Roll: -3.32бу] -> Calibrated = [X: 191.41, Y: -42.62]
126: Raw = [X: 117.00, Y: -111.00, Z: -205.00, Pitch: -0.37бу, Roll: -3.32бу] -> Calibrated = [X: 185.79, Y: -62.74]
127: Raw = [X: 115.00, Y: -112.00, Z: -215.00, Pitch: -0.33бу, Roll: -3.34бу] -> Calibrated = [X: 183.87, Y: -64.53]
128: Raw = [X: 113.00, Y: -120.00, Z: -213.00, Pitch: -0.27бу, Roll: -3.36бу] -> Calibrated = [X: 181.80, Y: -73.14]
129: Raw = [X: 106.00, Y: -135.00, Z: -213.00, Pitch: -0.18бу, Roll: -3.39бу] -> Calibrated = [X: 174.99, Y: -89.45]
130: Raw = [X: 100.00, Y: -148.00, Z: -216.00, Pitch: -0.07бу, Roll: -3.41бу] -> Calibrated = [X: 169.01, Y: -103.79]
131: Raw = [X: 94.00, Y: -164.00, Z: -217.00, Pitch: 0.08бу, Roll: -3.44бу] -> Calibrated = [X: 162.94, Y: -121.29]
132: Raw = [X: 81.00, Y: -179.00, Z: -213.00, Pitch: 0.24бу, Roll: -3.46бу] -> Calibrated = [X: 150.31, Y: -137.36]
133: Raw = [X: 63.00, Y: -192.00, Z: -213.00, Pitch: 0.41бу, Roll: -3.48бу] -> Calibrated = [X: 132.99, Y: -151.50]
134: Raw = [X: 42.00, Y: -205.00, Z: -215.00, Pitch: 0.60бу, Roll: -3.49бу] -> Calibrated = [X: 112.80, Y: -165.69]
135: Raw = [X: 25.00, Y: -217.00, Z: -206.00, Pitch: 0.79бу, Roll: -3.47бу] -> Calibrated = [X: 96.46, Y: -178.01]
136: Raw = [X: 2.00, Y: -222.00, Z: -207.00, Pitch: 0.98бу, Roll: -3.42бу] -> Calibrated = [X: 74.44, Y: -183.26]
137: Raw = [X: -28.00, Y: -230.00, Z: -199.00, Pitch: 1.18бу, Roll: -3.34бу] -> Calibrated = [X: 46.07, Y: -191.08]
138: Raw = [X: -53.00, Y: -229.00, Z: -194.00, Pitch: 1.36бу, Roll: -3.23бу] -> Calibrated = [X: 22.39, Y: -189.25]
139: Raw = [X: -78.00, Y: -226.00, Z: -190.00, Pitch: 1.51бу, Roll: -3.08бу] -> Calibrated = [X: -1.19, Y: -185.24]
140: Raw = [X: -106.00, Y: -220.00, Z: -181.00, Pitch: 1.64бу, Roll: -2.91бу] -> Calibrated = [X: -27.34, Y: -177.64]
141: Raw = [X: -133.00, Y: -212.00, Z: -173.00, Pitch: 1.75бу, Roll: -2.72бу] -> Calibrated = [X: -52.52, Y: -167.90]
142: Raw = [X: -159.00, Y: -208.00, Z: -164.00, Pitch: 1.83бу, Roll: -2.48бу] -> Calibrated = [X: -76.60, Y: -162.38]
143: Raw = [X: -188.00, Y: -184.00, Z: -154.00, Pitch: 1.89бу, Roll: -2.22бу] -> Calibrated = [X: -103.36, Y: -135.21]
144: Raw = [X: -208.00, Y: -170.00, Z: -149.00, Pitch: 1.87бу, Roll: -1.94бу] -> Calibrated = [X: -121.75, Y: -119.11]
145: Raw = [X: -228.00, Y: -146.00, Z: -134.00, Pitch: 1.83бу, Roll: -1.67бу] -> Calibrated = [X: -139.77, Y: -91.96]
146: Raw = [X: -238.00, Y: -135.00, Z: -130.00, Pitch: 1.73бу, Roll: -1.42бу] -> Calibrated = [X: -148.74, Y: -79.36]
147: Raw = [X: -252.00, Y: -122.00, Z: -129.00, Pitch: 1.59бу, Roll: -1.18бу] -> Calibrated = [X: -161.44, Y: -64.73]
148: Raw = [X: -257.00, Y: -100.00, Z: -115.00, Pitch: 1.46бу, Roll: -0.98бу] -> Calibrated = [X: -165.49, Y: -40.20]
149: Raw = [X: -268.00, Y: -81.00, Z: -112.00, Pitch: 1.35бу, Roll: -0.80бу] -> Calibrated = [X: -175.45, Y: -19.23]
150: Raw = [X: -272.00, Y: -61.00, Z: -107.00, Pitch: 1.24бу, Roll: -0.63бу] -> Calibrated = [X: -178.87, Y: 2.83]
151: Raw = [X: -274.00, Y: -45.00, Z: -107.00, Pitch: 1.12бу, Roll: -0.46бу] -> Calibrated = [X: -180.53, Y: 20.46]
152: Raw = [X: -268.00, Y: -25.00, Z: -97.00, Pitch: 0.99бу, Roll: -0.32бу] -> Calibrated = [X: -174.59, Y: 42.44]
153: Raw = [X: -267.00, Y: -4.00, Z: -95.00, Pitch: 0.82бу, Roll: -0.20бу] -> Calibrated = [X: -173.37, Y: 65.40]
154: Raw = [X: -255.00, Y: 21.00, Z: -91.00, Pitch: 0.61бу, Roll: -0.10бу] -> Calibrated = [X: -161.88, Y: 92.65]
155: Raw = [X: -238.00, Y: 47.00, Z: -84.00, Pitch: 0.39бу, Roll: -0.03бу] -> Calibrated = [X: -145.72, Y: 120.92]
156: Raw = [X: -219.00, Y: 62.00, Z: -91.00, Pitch: 0.14бу, Roll: -0.00бу] -> Calibrated = [X: -127.76, Y: 137.20]
157: Raw = [X: -199.00, Y: 78.00, Z: -94.00, Pitch: -0.12бу, Roll: -0.02бу] -> Calibrated = [X: -108.79, Y: 154.50]
158: Raw = [X: -175.00, Y: 91.00, Z: -97.00, Pitch: -0.38бу, Roll: -0.07бу] -> Calibrated = [X: -86.08, Y: 168.48]
159: Raw = [X: -146.00, Y: 95.00, Z: -101.00, Pitch: -0.61бу, Roll: -0.17бу] -> Calibrated = [X: -58.73, Y: 172.62]
160: Raw = [X: -120.00, Y: 98.00, Z: -107.00, Pitch: -0.82бу, Roll: -0.28бу] -> Calibrated = [X: -34.15, Y: 175.61]
161: Raw = [X: -101.00, Y: 98.00, Z: -107.00, Pitch: -1.01бу, Roll: -0.41бу] -> Calibrated = [X: -16.17, Y: 175.34]
162: Raw = [X: -74.00, Y: 98.00, Z: -119.00, Pitch: -1.16бу, Roll: -0.55бу] -> Calibrated = [X: 9.40, Y: 174.93]
163: Raw = [X: -44.00, Y: 93.00, Z: -121.00, Pitch: -1.29бу, Roll: -0.70бу] -> Calibrated = [X: 37.56, Y: 169.16]
164: Raw = [X: -26.00, Y: 88.00, Z: -131.00, Pitch: -1.40бу, Roll: -0.84бу] -> Calibrated = [X: 54.73, Y: 163.27]
